pgs_c pgs_m pgs_f
0.315095 0.51697 0.565983
2.43217 1.57718 1.46176
-0.121539 -0.00146488 0.318542
1.93057 1.07737 2.18678
1.69079 0.680591 0.912145
-0.513648 -0.127539 0.108064
1.75781 1.02181 0.633961
0.680363 1.35379 0.361961
0.750335 0.42809 -0.193752
0.768862 -0.327672 -0.499128
-0.719451 -0.0584355 -0.764848
-0.380301 -0.95214 1.06274
-0.057254 -0.316403 0.788588
-2.20289 -0.726559 -1.2324
-0.228796 0.432163 -0.767987
0.565318 0.454183 0.523814
0.497742 1.34579 -0.213987
-0.3851 -0.289776 -0.661887
0.795461 0.149182 -0.401354
1.63817 1.12998 2.0418
1.29902 -0.0114774 0.82777
1.76136 1.09268 0.702887
2.37552 0.632104 1.60252
0.989619 1.10182 -0.176622
0.710431 1.73795 1.04549
0.2962 1.40908 -1.29372
-0.22313 0.980589 -0.637296
1.17554 0.633487 0.685836
0.500937 0.602066 -1.02602
0.44576 0.554782 -0.0300687
0.491879 0.831859 -0.183466
0.429227 -0.921925 0.214095
0.138009 1.25656 0.13061
1.61899 1.31477 0.369031
1.05879 0.890806 1.7327
0.299003 0.342969 0.0158891
1.43413 0.43558 2.38326
0.42826 0.512876 0.836794
0.930339 1.38868 0.0713603
-0.293296 0.581091 0.362152
-0.236166 -0.138952 -0.785322
0.900882 0.391211 -0.183324
1.57837 0.698198 1.59578
-0.0960822 0.948035 -0.0485175
0.673452 0.80962 0.1495
-1.25624 -1.28172 -1.23492
0.414719 0.426832 -0.344225
1.2231 0.438143 -0.363682
-0.474679 -0.932384 -0.401916
-1.31093 -1.03025 -1.82622
-0.537356 -0.255719 1.06546
-1.40532 -2.25693 -1.48689
0.547916 -0.301459 -0.238844
0.239473 0.577988 0.42826
-0.48795 -0.784639 0.187709
1.35105 0.486411 0.953629
-0.583368 -0.353416 -0.533617
-0.271845 -0.479499 0.0767066
-0.194418 0.0578749 -0.0507574
0.542927 -0.190028 -0.0993844
0.0697443 -1.01427 1.16962
0.800932 0.817717 0.3172
-0.0417915 -0.337692 0.201331
-0.324071 0.672337 0.0550748
-0.539281 -0.613434 0.73189
1.82524 1.07863 1.0824
-0.165412 0.130195 -0.255495
-0.488977 -0.00670299 -0.57745
-0.253768 -0.469245 -0.732961
-0.666732 -0.183995 -1.376
0.465535 -0.675686 0.501424
0.159027 -0.677576 1.375
0.244507 -0.419465 0.708068
0.407605 -0.0171002 -0.101159
-1.09948 -1.20773 -0.169935
1.52259 1.17443 0.695661
-0.124131 -0.558791 1.0615
-0.404338 0.734883 -0.460828
-0.273088 0.0782699 -0.358073
-0.701027 -1.12616 0.75499
1.00684 0.206732 1.91112
-0.713473 -0.266582 0.416286
0.889644 0.574924 0.0964871
0.478269 0.456799 0.578671
-0.179492 -0.348435 -0.775121
-0.435836 -0.137467 -0.171951
-0.811207 -1.00479 0.15048
0.64177 0.669909 0.375242
-0.348807 -0.22446 0.161172
-0.22051 -0.407051 -0.281916
0.859812 1.27422 0.957466
1.72301 0.968792 1.76372
1.24861 1.95527 -0.37669
-0.288921 0.470766 0.561041
1.05247 0.442231 -0.368099
1.14627 0.553496 0.517936
0.387148 0.455748 0.752822
0.0111172 -0.183309 0.293601
0.139754 0.467892 0.212493
0.299121 0.47832 -0.106066
0.433509 -0.398209 0.597634
-0.527949 -0.105284 -1.47792
1.12576 1.91455 0.591793
-0.374987 0.570947 -0.827238
-0.497689 -0.158882 1.18487
-0.908167 -0.482334 -0.827855
-0.342069 0.476446 -0.40133
0.275871 0.787079 0.322631
-1.10916 -1.14746 -1.19392
-0.636142 -0.300428 -1.06367
-0.542504 0.691341 -0.304034
1.3233 1.30156 0.235193
0.0979762 -1.52032 0.524141
1.12398 0.690029 1.4802
1.13446 0.987077 -0.158176
-0.959184 0.341389 -0.631902
0.500172 0.673364 0.993982
-0.600515 -0.228513 -0.0610257
-0.450275 -0.677435 -1.05689
1.15706 1.483 0.533587
0.920459 0.122053 1.23419
0.171514 -0.316542 0.334474
1.57646 1.08465 2.33145
0.107244 0.629505 0.276527
0.732949 -0.659124 1.45384
0.216431 0.456553 -0.848256
0.848458 0.282506 0.566183
-0.0759436 -0.646867 0.140851
0.224176 0.257727 0.623598
-1.17768 -0.964707 -1.14805
0.977303 -0.489021 0.766999
0.4177 1.51754 -0.662124
-1.07641 0.138643 -0.580416
1.57868 1.28627 1.71873
1.92663 1.25672 0.660104
0.620138 -0.726318 -0.471657
0.907341 0.512513 1.35498
-0.307037 -1.27056 -0.650591
-1.91816 -0.768805 -0.863535
-0.616799 0.32092 0.244186
0.904305 0.194712 1.31585
1.25225 1.0717 0.282585
-0.263951 0.468892 -0.913043
-0.386119 -0.848832 -0.0258263
0.355299 0.652826 0.519132
-0.182058 -0.485199 0.109019
2.56428 1.51219 1.93502
1.95261 0.983171 0.512224
0.173804 -0.996804 -0.567283
-0.314201 -0.216496 -0.745906
0.258334 0.894262 0.652592
1.11805 -0.0629809 1.43526
0.111306 -0.946386 0.73845
-0.0970542 -0.56584 0.764433
-2.03549 -1.68922 -1.11319
0.76273 1.56604 0.13404
-0.587688 -1.8179 0.103038
1.51764 0.714277 1.67288
-0.0751418 -0.320211 0.493944
-0.368123 -0.156338 -0.511648
0.708137 -0.470011 -0.351912
1.25553 -0.0756516 2.05059
0.458007 -0.807832 0.319528
0.517462 -0.215636 -0.0135334
-0.24946 -0.680947 0.775737
-0.467307 -1.29799 -0.495679
0.507094 0.151331 -0.389409
-0.32814 -0.913749 -0.196134
0.150689 0.00159213 0.550632
0.775675 -0.392556 0.911842
-0.0113208 -0.567483 -0.326402
1.03504 1.73564 0.865668
-0.563545 0.0176418 -0.625987
1.06 0.815184 0.424048
0.811152 0.866071 0.525671
0.0739077 1.07906 -0.532447
1.42594 1.3791 1.63239
0.487169 0.441501 0.60793
0.40105 0.105301 -0.402656
1.05281 1.79824 -0.441425
-0.0534179 -0.879376 0.0021714
1.0765 0.688406 0.84293
0.212809 0.418172 0.111083
2.09044 -0.0829843 3.01944
-0.624439 0.631952 -0.812454
0.513188 -0.002081 1.33039
0.202263 -0.695546 0.978643
0.0155019 0.2339 -0.831649
1.24709 1.09516 1.04545
0.691334 -0.159785 0.660294
0.266123 0.192366 -0.395647
1.28984 0.589001 0.130851
